Date,Close,Open,High,Low,Volume,Change %
4-Apr-19,986.91,987.47,989.08,982.94,165.31K,0.25%
3-Apr-19,984.46,984.74,985.26,980.3,216.94K,-0.14%
2-Apr-19,985.81,994.87,996.41,985.48,236.02K,-0.28%
1-Apr-19,988.53,980.76,988.53,980.76,188.62K,0.79%
29-Mar-19,980.76,985.35,988.24,980.76,173.91K,-0.23%
28-Mar-19,982.98,973.44,983.18,972.6,217.07K,0.72%
27-Mar-19,975.91,976.67,979.32,972.25,159.94K,0.63%
26-Mar-19,969.79,970.07,978.99,966.9,175.42K,-0.03%
25-Mar-19,970.07,976.53,976.53,964.76,245.78K,-1.89%
22-Mar-19,988.71,984.9,990.07,981.3,206.93K,0.71%
21-Mar-19,981.78,"1,005.12","1,006.37",981.78,200.03K,-2.05%
20-Mar-19,"1,002.30","1,002.86","1,003.25",992.02,300.09K,-0.43%
19-Mar-19,"1,006.59","1,013.75","1,014.51","1,004.22",236.59K,-0.52%
18-Mar-19,"1,011.86","1,004.12","1,013.29","1,004.12",230.55K,0.77%
15-Mar-19,"1,004.12","1,008.44","1,008.44","1,001.10",250.28K,-0.43%
14-Mar-19,"1,008.44","1,006.37","1,011.39","1,002.09",224.54K,0.30%
13-Mar-19,"1,005.41","1,003.75","1,009.77","1,003.01",229.38K,0.41%
12-Mar-19,"1,001.32",991.14,"1,001.32",990.46,208.19K,1.70%
11-Mar-19,984.6,982.94,987.11,981.34,178.66K,-0.07%
8-Mar-19,985.25,987.89,991.98,984.48,202.51K,-0.88%
7-Mar-19,994.03,995.65,"1,004.55",994.03,210.70K,-0.05%
6-Mar-19,994.49,993.01,994.49,985.51,250.93K,0.21%
5-Mar-19,992.45,990.08,"1,000.25",987.92,297.44K,-0.15%
